Geneid;Chr;Start;End;Strand;Length;Description
GNB3;chr12;6839954;6841033;+;3437;G protein subunit beta 3
GNB4;chr3;179396088;179401319;-;7975;G protein subunit beta 4
GNB5;chr15;52115100;52122768;-;13330;G protein subunit beta 5
GNE;chr9;36214441;36217600;-;5856;glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
GNG10;chr9;111661605;111661715;+;1201;G protein subunit gamma 10
GNG11;chr7;93921735;93922233;+;3019;G protein subunit gamma 11
GNG12;chr1;67701475;67705576;-;4715;G protein subunit gamma 12
GNG12-AS1;chr1;67832293;67832436;+;3645;GNG12, DIRAS3 and WLS antisense RNA 1
GNG13;chr16;798041;798824;-;985;G protein subunit gamma 13
GNG2;chr14;51826195;51826230;+;6379;G protein subunit gamma 2
GNG3;chr11;62707676;62707915;+;864;G protein subunit gamma 3
GNG4;chr1;235547685;235552237;-;5194;G protein subunit gamma 4
GNG5;chr1;84498323;84498548;-;5026;G protein subunit gamma 5
GNG5P2;chrX;110346103;110346974;-;1276;G protein subunit gamma 5 pseudogene 2
GNG7;chr19;2511219;2515147;-;4546;G protein subunit gamma 7
GNG8;chr19;46633953;46634204;-;496;G protein subunit gamma 8
GNGT2;chr17;49202791;49203032;-;1689;G protein subunit gamma transducin 2
GNL1;chr6;30541381;30546313;-;7957;G protein nucleolar 1 (putative)
GNL2;chr1;37566816;37567007;-;5747;G protein nucleolar 2
GNL2P1;chr7;49942251;49944440;-;2190;G protein nucleolar 2 pseudogene 1
GNL3;chr3;52681156;52681275;+;3238;G protein nucleolar 3
GNL3L;chrX;54530183;54530302;+;11949;G protein nucleolar 3 like
GNLY;chr2;85685175;85685221;+;3047;granulysin
GNMT;chr6;42960754;42960973;+;1076;glycine N-methyltransferase
GNPAT;chr1;231241207;231241456;+;3261;glyceronephosphate O-acyltransferase
GNPDA1;chr5;141991749;141991920;-;3959;glucosamine-6-phosphate deaminase 1
GNPDA2;chr4;44682200;44682642;-;7216;glucosamine-6-phosphate deaminase 2
GNPNAT1;chr14;52775193;52778458;-;4010;glucosamine-phosphate N-acetyltransferase 1
GNPTAB;chr12;101745499;101747241;-;9774;N-acetylglucosamine-1-phosphate transferase subunits alpha and beta
GNPTG;chr16;1351931;1352017;+;5718;N-acetylglucosamine-1-phosphate transferase subunit gamma
GNRH1;chr8;25419258;25419460;-;1764;gonadotropin releasing hormone 1
GNRH2;chr20;3043622;3043665;+;823;gonadotropin releasing hormone 2
GNRHR;chr4;67737118;67740724;-;4402;gonadotropin releasing hormone receptor
GNRHR2;chr1;145919013;145919569;+;2644;gonadotropin releasing hormone receptor 2 (pseudogene)
GNS;chr12;64713445;64716819;-;6268;glucosamine (N-acetyl)-6-sulfatase
GOLGA1;chr9;124878275;124880610;-;6085;golgin A1
GOLGA2;chr9;128255829;128257281;-;11040;golgin A2
GOLGA2P1;chr8;86657388;86660293;-;2906;GOLGA2 pseudogene 1
GOLGA2P10;chr15;82472993;82473481;-;1758;GOLGA2 pseudogene 10
GOLGA2P2Y;chrY;24209567;24209623;-;1506;GOLGA2 pseudogene 2 Y-linked
GOLGA2P4;chr22;42784462;42784566;+;777;GOLGA2 pseudogene 4
GOLGA2P5;chr12;100156357;100157058;-;10957;GOLGA2 pseudogene 5
GOLGA2P7;chr15;84199311;84201208;-;4915;GOLGA2 pseudogene 7
GOLGA2P8;chr15;90291962;90292146;+;779;GOLGA2 pseudogene 8
GOLGA3;chr12;132768902;132773294;-;14822;golgin A3
GOLGA4;chr3;37243191;37243622;+;10837;golgin A4
GOLGA4-AS1;chr3;37241789;37244202;-;2414;GOLGA4 antisense RNA 1
GOLGA5;chr14;92794305;92794456;+;3205;golgin A5
GOLGA5P1;chr5;39169210;39169561;-;980;golgin A5 pseudogene 1
GOLGA6A;chr15;74069857;74071037;-;3505;golgin A6 family member A
GOLGA6B;chr15;72654697;72654821;+;5480;golgin A6 family member B
GOLGA6FP;chr15;77914217;77915311;-;3175;golgin A6 family member F, pseudogene
GOLGA6L10;chr15;82339993;82342908;-;4720;golgin A6 family like 10
GOLGA6L2;chr15;23439038;23441682;-;3499;golgin A6 family like 2
GOLGA6L5P;chr15;84507885;84510056;-;3899;golgin A6 family like 5, pseudogene
GOLGA6L6;chr15;20531856;20533602;-;4013;golgin A6 family like 6
GOLGA6L7;chr15;28841832;28843440;-;2966;golgin A6 family like 7
GOLGA6L9;chr15;82429816;82430163;+;6778;golgin A6 family like 9
GOLGA7;chr8;41488200;41488461;+;7474;golgin A7
GOLGA7B;chr10;97849843;97850315;+;6854;golgin A7 family member B
GOLGA7B-DT;chr10;97828478;97828634;-;418;GOLGA7B divergent transcript
GOLGA8A;chr15;34378935;34381613;-;7312;golgin A8 family member A
GOLGA8B;chr15;34525095;34527834;-;7782;golgin A8 family member B
GOLGA8H;chr15;30604028;30604173;+;5188;golgin A8 family member H
GOLGA8IP;chr15;22606022;22607715;-;4116;golgin A8 family member I, pseudogene
GOLGA8J;chr15;30082955;30083100;+;6007;golgin A8 family member J
GOLGA8K;chr15;32389599;32392957;-;6414;golgin A8 family member K
GOLGA8M;chr15;28698583;28702129;-;6081;golgin A8 family member M
GOLGA8N;chr15;32593456;32593601;+;8249;golgin A8 family member N
GOLGA8O;chr15;32441914;32445281;-;5358;golgin A8 family member O
GOLGA8Q;chr15;30552050;30552125;+;5348;golgin A8 family member Q
GOLGA8R;chr15;30400562;30403915;-;7709;golgin A8 family member R
GOLGA8S;chr15;23354748;23354893;+;5459;golgin A8 family member S
GOLGA8T;chr15;30135051;30135196;+;5341;golgin A8 family member T
GOLGA8UP;chr15;30791573;30791621;+;1755;golgin A8 family member U, pseudogene
GOLGA8VP;chr15;101771758;101772108;-;1798;golgin A8 family member V, pseudogene
GOLGB1;chr3;121663199;121664614;-;33764;golgin B1
GOLIM4;chr3;168008689;168010418;-;4584;golgi integral membrane protein 4
GOLM1;chr9;86026146;86027893;-;4233;golgi membrane protein 1
GOLM2;chr15;44288719;44289356;+;7105;golgi membrane protein 2
GOLM2P1;chr13;19563589;19564900;-;1312;GOLM2 pseudogene 1
GOLPH3;chr5;32124716;32126636;-;2742;golgi phosphoprotein 3
GOLPH3-DT;chr5;32173960;32175273;+;1314;GOLPH3 divergent transcript
GOLPH3L;chr1;150646230;150648748;-;3334;golgi phosphoprotein 3 like
GOLT1A;chr1;204198163;204198496;-;1029;golgi transport 1A
GOLT1B;chr12;21501781;21501948;+;3789;golgi transport 1B
GON4L;chr1;155749659;155750733;-;11970;gon-4 like
GON7;chr14;93202894;93203782;-;1125;GON7 subunit of KEOPS complex
GOPC;chr6;117560269;117563384;-;4628;golgi associated PDZ and coiled-coil motif containing
GORAB;chr1;170531819;170531984;+;11246;golgin, RAB6 interacting
GORAB-AS1;chr1;170460453;170462419;-;5647;GORAB antisense RNA 1
GORASP1;chr3;39095222;39098489;-;8939;golgi reassembly stacking protein 1
GORASP2;chr2;170928464;170928560;+;4705;golgi reassembly stacking protein 2
GOSR1;chr17;30477362;30477464;+;9855;golgi SNAP receptor complex member 1
GOSR2;chr17;46923075;46923221;+;14366;golgi SNAP receptor complex member 2
GOT1;chr10;99396870;99397686;-;2424;glutamic-oxaloacetic transaminase 1
GOT1-DT;chr10;99430915;99431581;+;8545;GOT1 divergent transcript
GOT2;chr16;58707131;58708293;-;3751;glutamic-oxaloacetic transaminase 2
GOT2P2;chr1;173141100;173142350;-;1251;GOT2 pseudogene 2
GOT2P3;chr12;9641723;9643011;+;1289;GOT2 pseudogene 3
GOT2P6;chrX;55961208;55962482;+;1275;GOT2 pseudogene 6
GOT2P7;chrX;11334233;11335208;-;1190;GOT2 pseudogene 7
GP1BA;chr17;4932277;4932365;+;2514;glycoprotein Ib platelet subunit alpha
GP5;chr3;194394821;194398354;-;3563;glycoprotein V platelet
GP6;chr19;55013705;55015165;-;2703;glycoprotein VI platelet
GP6-AS1;chr19;55006193;55006299;+;2554;GP6 antisense RNA 1
GPA33;chr1;167052836;167054466;-;2946;glycoprotein A33
GPAA1;chr8;144082590;144082804;+;3268;glycosylphosphatidylinositol anchor attachment 1
GPALPP1;chr13;44989529;44990427;+;10842;GPALPP motifs containing 1
GPAM;chr10;112149865;112153666;-;9809;glycerol-3-phosphate acyltransferase, mitochondrial
GPANK1;chr6;31661228;31662710;-;3243;G-patch domain and ankyrin repeats 1
GPAT2;chr2;96021946;96022275;-;5684;glycerol-3-phosphate acyltransferase 2, mitochondrial
GPAT2P1;chr2;95789654;95789728;+;2245;glycerol-3-phosphate acyltransferase 2 pseudogene 1
GPAT2P2;chr2;97081098;97081245;+;863;glycerol-3-phosphate acyltransferase 2 pseudogene 2
GPAT3;chr4;83535914;83536017;+;3623;glycerol-3-phosphate acyltransferase 3
GPAT4;chr8;41577187;41577435;+;7939;glycerol-3-phosphate acyltransferase 4
GPAT4-AS1;chr8;41509593;41512545;-;4033;GPAT4 and GINS4 antisense RNA 1
GPATCH1;chr19;33080899;33081266;+;4469;G-patch domain containing 1
GPATCH11;chr2;37084518;37084570;+;3973;G-patch domain containing 11
GPATCH2;chr1;217426992;217431365;-;8841;G-patch domain containing 2
GPATCH2L;chr14;76151916;76151991;+;21987;G-patch domain containing 2 like
GPATCH3;chr1;26890488;26891226;-;2226;G-patch domain containing 3
GPATCH4;chr1;156594301;156595849;-;4623;G-patch domain containing 4 (gene/pseudogene)
GPATCH8;chr17;44395281;44401453;-;9737;G-patch domain containing 8
GPBAR1;chr2;218259496;218260184;+;2694;G protein-coupled bile acid receptor 1
GPBP1;chr5;57173948;57174211;+;6472;GC-rich promoter binding protein 1
GPBP1L1;chr1;45627304;45628408;-;7433;GC-rich promoter binding protein 1 like 1
GPC1;chr2;240435663;240436084;+;6522;glypican 1
GPC1-AS1;chr2;240449315;240449921;-;3235;GPC1 antisense RNA 1
GPC2;chr7;100169606;100170483;-;3837;glypican 2
GPC3;chrX;133535745;133536293;-;3281;glypican 3
GPC4;chrX;133300103;133303069;-;4959;glypican 4
GPC5;chr13;91398621;91399209;+;3530;glypican 5
GPC5-AS1;chr13;92701389;92701516;-;461;GPC5 antisense RNA 1
GPC5-AS2;chr13;92339794;92340530;-;1196;GPC5 antisense RNA 2
GPC5-IT1;chr13;92484606;92484681;+;658;GPC5 intronic transcript 1
GPC6;chr13;93226807;93227616;+;7122;glypican 6
GPC6-AS1;chr13;94154193;94154406;-;698;GPC6 antisense RNA 1
GPCPD1;chr20;5544439;5547850;-;7472;glycerophosphocholine phosphodiesterase 1
GPD1;chr12;50103982;50104091;+;3822;glycerol-3-phosphate dehydrogenase 1
GPD1L;chr3;32105689;32105829;+;4697;glycerol-3-phosphate dehydrogenase 1 like
GPD2;chr2;156435290;156435409;+;7165;glycerol-3-phosphate dehydrogenase 2
GPER1;chr7;1082208;1082274;+;3123;G protein-coupled estrogen receptor 1
GPHA2;chr11;64934471;64934874;-;931;glycoprotein hormone subunit alpha 2
GPHN;chr14;66507407;66508591;+;6007;gephyrin
GPI;chr19;34359480;34359606;+;10680;glucose-6-phosphate isomerase
GPIHBP1;chr8;143213218;143213319;+;2257;glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1
GPKOW;chrX;49113407;49113755;-;1658;G-patch domain and KOW motifs
GPLD1;chr6;24424565;24424982;-;7221;glycosylphosphatidylinositol specific phospholipase D1
GPM6A;chr4;175632934;175635057;-;6553;glycoprotein M6A
GPM6A-DT;chr4;175790307;175790417;+;1213;GPM6A divergent transcript
GPM6B;chrX;13770939;13773030;-;5767;glycoprotein M6B
GPN1;chr2;27628247;27628714;+;3749;GPN-loop GTPase 1
GPN2;chr1;26876132;26879749;-;4966;GPN-loop GTPase 2
GPN3;chr12;110452486;110453096;-;2593;GPN-loop GTPase 3
GPNMB;chr7;23235967;23236123;+;5906;glycoprotein nmb
GPR101;chrX;137023929;137031766;-;8032;G protein-coupled receptor 101
GPR107;chr9;130053426;130054073;+;9139;G protein-coupled receptor 107
GPR108;chr19;6729914;6730384;-;3190;G protein-coupled receptor 108
GPR12;chr13;26755200;26759842;-;5299;G protein-coupled receptor 12
GPR132;chr14;105049395;105052102;-;4194;G protein-coupled receptor 132
GPR135;chr14;59429022;59429087;-;5021;G protein-coupled receptor 135
GPR137;chr11;64270062;64270661;+;4042;G protein-coupled receptor 137
GPR137B;chr1;236142505;236143036;+;2307;G protein-coupled receptor 137B
GPR137C;chr14;52552836;52553591;+;6505;G protein-coupled receptor 137C
GPR139;chr16;20028239;20032669;-;4931;G protein-coupled receptor 139
GPR141;chr7;37683766;37683903;+;4803;G protein-coupled receptor 141
GPR142;chr17;74367458;74367748;+;1535;G protein-coupled receptor 142
GPR143;chrX;9725346;9725840;-;2369;G protein-coupled receptor 143
GPR146;chr7;1044546;1044658;+;3190;G protein-coupled receptor 146
GPR148;chr2;130729070;130730336;+;1267;G protein-coupled receptor 148
GPR149;chr3;154334943;154338271;-;5527;G protein-coupled receptor 149
GPR15;chr3;98531978;98534681;+;2704;G protein-coupled receptor 15
GPR150;chr5;95620087;95622142;+;2056;G protein-coupled receptor 150
GPR151;chr5;146513144;146516190;-;3047;G protein-coupled receptor 151
GPR153;chr1;6247353;6250003;-;4198;G protein-coupled receptor 153
GPR155;chr2;174431571;174436416;-;7769;G protein-coupled receptor 155
GPR155-DT;chr2;174487380;174487529;+;869;GPR155 divergent transcript
GPR156;chr3;120164645;120168384;-;6186;G protein-coupled receptor 156
GPR157;chr1;9100305;9104634;-;5304;G protein-coupled receptor 157
GPR158;chr10;25174802;25175165;+;7989;G protein-coupled receptor 158
GPR158-AS1;chr10;25158072;25159903;-;2433;GPR158 antisense RNA 1
GPR160;chr3;170037995;170038215;+;4381;G protein-coupled receptor 160
GPR160P1;chr2;85686053;85687047;-;995;GPR160 pseudogene 1
GPR161;chr1;168079542;168085796;-;11417;G protein-coupled receptor 161
GPR162;chr12;6821624;6821900;+;3216;G protein-coupled receptor 162
GPR17;chr2;127645864;127646244;+;2671;G protein-coupled receptor 17
GPR171;chr3;151197832;151199439;-;1810;G protein-coupled receptor 171
GPR173;chrX;53048789;53049484;+;4910;G protein-coupled receptor 173
GPR174;chrX;79144688;79145217;+;5494;G protein-coupled receptor 174
GPR176;chr15;39799008;39802254;-;4517;G protein-coupled receptor 176
GPR176-DT;chr15;39921042;39921658;+;4839;GPR176 divergent transcript
GPR179;chr17;38324571;38331531;-;9247;G protein-coupled receptor 179
GPR18;chr13;99254732;99255906;-;2000;G protein-coupled receptor 18
GPR180;chr13;94601857;94602072;+;8884;G protein-coupled receptor 180
GPR182;chr12;56994492;56994648;+;3411;G protein-coupled receptor 182
GPR183;chr13;99294539;99296163;-;1685;G protein-coupled receptor 183
GPR19;chr12;12660890;12662470;-;2624;G protein-coupled receptor 19
GPR199P;chr1;34975699;34977402;-;1887;G protein-coupled receptor 199, pseudogene
GPR20;chr8;141356470;141357947;-;1564;G protein-coupled receptor 20
GPR21;chr9;123033667;123033742;+;1571;G protein-coupled receptor 21
GPR22;chr7;107470018;107470049;+;3711;G protein-coupled receptor 22
GPR25;chr1;200872981;200874178;+;1198;G protein-coupled receptor 25
GPR26;chr10;123666355;123667075;+;10306;G protein-coupled receptor 26
GPR27;chr3;71753855;71756496;+;2642;G protein-coupled receptor 27
GPR3;chr1;27392622;27392737;+;2137;G protein-coupled receptor 3
GPR31;chr6;167155247;167157980;-;2734;G protein-coupled receptor 31
GPR34;chrX;41688973;41689084;+;1926;G protein-coupled receptor 34
GPR35;chr2;240605430;240605570;+;6755;G protein-coupled receptor 35
GPR37;chr7;124743885;124747343;-;5298;G protein-coupled receptor 37
GPR37L1;chr1;202122886;202123593;+;7581;G protein-coupled receptor 37 like 1
GPR39;chr2;132416805;132417898;+;3179;G protein-coupled receptor 39
GPR4;chr19;45589764;45592697;-;3149;G protein-coupled receptor 4
GPR45;chr2;105241743;105243467;+;1725;G protein-coupled receptor 45
GPR50;chrX;151176584;151176908;+;2020;G protein-coupled receptor 50
GPR52;chr1;174447964;174449545;+;1582;G protein-coupled receptor 52
GPR55;chr2;230907318;230908310;-;4146;G protein-coupled receptor 55
GPR6;chr6;109978256;109978467;+;1947;G protein-coupled receptor 6
GPR61;chr1;109539872;109539953;+;5057;G protein-coupled receptor 61
GPR62;chr3;51955381;51957499;+;2119;G protein-coupled receptor 62
GPR63;chr6;96794125;96799881;-;5967;G protein-coupled receptor 63
GPR65;chr14;88005135;88005222;+;4511;G protein-coupled receptor 65
GPR68;chr14;91232532;91235179;-;3474;G protein-coupled receptor 68
GPR75;chr2;53852912;53854865;-;2094;G protein-coupled receptor 75
GPR78;chr4;8558725;8558981;+;10635;G protein-coupled receptor 78
GPR79;chr3;158841093;158841960;-;868;G protein-coupled receptor 79, pseudogene
GPR82;chrX;41724181;41724289;+;3318;G protein-coupled receptor 82
GPR83;chr11;94377316;94380773;-;4277;G protein-coupled receptor 83
GPR84;chr12;54362445;54363859;-;2043;G protein-coupled receptor 84
GPR85;chr7;113078331;113080514;-;7582;G protein-coupled receptor 85
GPR87;chr3;151294086;151295211;-;1566;G protein-coupled receptor 87
GPR88;chr1;100538139;100538502;+;3492;G protein-coupled receptor 88
GPR89A;chr1;145607988;145608175;+;5561;G protein-coupled receptor 89A
GPR89B;chr1;147928393;147928578;+;5214;G protein-coupled receptor 89B
GPR89P;chr6;27737000;27738494;-;1495;G protein-coupled receptor 89 pseudogene
GPRACR;chr9;130140610;130142891;-;3258;GPR107 adjacent cis regulating lncRNA
GPRASP1;chrX;102651092;102651595;+;6789;G protein-coupled receptor associated sorting protein 1
GPRASP2;chrX;102712445;102712552;+;3706;G protein-coupled receptor associated sorting protein 2
GPRC5A;chr12;12891559;12891664;+;7663;G protein-coupled receptor class C group 5 member A
GPRC5B;chr16;19856691;19860544;-;6654;G protein-coupled receptor class C group 5 member B
GPRC5C;chr17;74424851;74424932;+;7534;G protein-coupled receptor class C group 5 member C
GPRC5D;chr12;12940575;12940849;-;1347;G protein-coupled receptor class C group 5 member D
GPRC5D-AS1;chr12;12927712;12927803;+;3434;GPRC5D and HEBP1 antisense RNA 1
GPRIN1;chr5;176595802;176599877;-;4234;G protein regulated inducer of neurite outgrowth 1
GPRIN2;chr10;46541736;46550742;-;9435;G protein regulated inducer of neurite outgrowth 2
GPRIN3;chr4;89236383;89250233;-;14998;GPRIN family member 3
GPS1;chr17;82050691;82051143;+;6145;G protein pathway suppressor 1
GPS2;chr17;7311324;7311590;-;3089;G protein pathway suppressor 2
GPS2P1;chr9;2875442;2876427;-;986;G protein pathway suppressor 2 pseudogene 1
GPS2P2;chr3;186772589;186773476;+;888;G protein pathway suppressor 2 pseudogene 2
GPSM1;chr9;136327476;136327763;+;5138;G protein signaling modulator 1
GPSM2;chr1;108875350;108875382;+;19578;G protein signaling modulator 2
GPSM3;chr6;32190766;32191503;-;1833;G protein signaling modulator 3
GPT;chr8;144502973;144503125;+;2756;glutamic--pyruvic transaminase
GPT2;chr16;46884362;46884467;+;6362;glutamic--pyruvic transaminase 2
GPX1;chr3;49357176;49357747;-;1178;glutathione peroxidase 1
GPX1P1;chrX;13378735;13379340;-;606;glutathione peroxidase pseudogene 1
GPX1P2;chr21;27143344;27143949;-;606;glutathione peroxidase pseudogene 2
GPX2;chr14;64939152;64939838;-;1340;glutathione peroxidase 2
GPX3;chr5;151020591;151020741;+;3005;glutathione peroxidase 3
GPX4;chr19;1103994;1104127;+;1951;glutathione peroxidase 4
GPX7;chr1;52602371;52602547;+;1692;glutathione peroxidase 7
GPX8;chr5;55160167;55160243;+;4045;glutathione peroxidase 8 (putative)
GRAMD1A;chr19;34994784;34994825;+;5906;GRAM domain containing 1A
GRAMD1B;chr11;123358428;123358799;+;14932;GRAM domain containing 1B
GRAMD1C;chr3;113828182;113828279;+;7444;GRAM domain containing 1C
GRAMD2A;chr15;72159806;72162012;-;4990;GRAM domain containing 2A
GRAMD2B;chr5;126360132;126360459;+;5051;GRAM domain containing 2B
GRAMD4;chr22;46576012;46576078;+;4901;GRAM domain containing 4
GRAMD4P7;chr18;14485806;14486364;+;1232;GRAM domain containing 4 pseudogene 7
GRAMD4P8;chr2;131646704;131647364;-;1115;GRAM domain containing 4 pseudogene 8
GRAP;chr17;19020656;19022144;-;2498;GRB2 related adaptor protein
GRAP2;chr22;39901084;39901330;+;6188;GRB2 related adaptor protein 2
GRASLND;chr2;6911754;6913664;-;5898;glycosaminoglycan regulatory associated long non-coding RNA
GRB10;chr7;50590063;50593098;-;9795;growth factor receptor bound protein 10
GRB14;chr2;164492417;164493182;-;3024;growth factor receptor bound protein 14
GRB2;chr17;75318076;75320553;-;4716;growth factor receptor bound protein 2
GRB7;chr17;39737927;39738133;+;3597;growth factor receptor bound protein 7
GREB1;chr2;11482341;11482381;+;12432;growth regulating estrogen receptor binding 1
GREB1L;chr18;21242232;21242393;+;11277;GREB1 like retinoic acid receptor coactivator
GREB1L-DT;chr18;21240675;21241007;-;428;GREB1L divergent transcript
GREM1;chr15;32718004;32718161;+;14784;gremlin 1, DAN family BMP antagonist
GREM1-AS1;chr15;32717270;32719007;-;1738;GREM1 antisense RNA 1
GREM2;chr1;240489573;240493476;-;4176;gremlin 2, DAN family BMP antagonist
GREP1;chr16;2988256;2988343;+;6061;glycine rich extracellular protein 1
GRHL1;chr2;9951693;9951853;+;7952;grainyhead like transcription factor 1
GRHL2;chr8;101492439;101492789;+;6053;grainyhead like transcription factor 2
GRHL3;chr1;24199558;24199704;+;4266;grainyhead like transcription factor 3
GRHL3-AS1;chr1;24307556;24307780;-;856;GRHL3 antisense RNA 1
GRHPR;chr9;37422666;37422805;+;7226;glyoxylate and hydroxypyruvate reductase
GRIA1;chr5;153489615;153489837;+;7538;glutamate ionotropic receptor AMPA type subunit 1
GRIA2;chr4;157204182;157204435;+;8941;glutamate ionotropic receptor AMPA type subunit 2
GRIA3;chrX;123184153;123184219;+;6449;glutamate ionotropic receptor AMPA type subunit 3
GRIA4;chr11;105609994;105610023;+;10083;glutamate ionotropic receptor AMPA type subunit 4
GRID1;chr10;85599552;85602701;-;6232;glutamate ionotropic receptor delta type subunit 1
GRID1-AS1;chr10;85577731;85577898;+;2100;GRID1 antisense RNA 1
GRID2;chr4;92303966;92304744;+;10617;glutamate ionotropic receptor delta type subunit 2
GRID2IP;chr7;6496778;6497845;-;4843;Grid2 interacting protein
GRIFIN;chr7;2474728;2474885;-;1001;galectin-related inter-fiber protein
GRIK1;chr21;29536933;29537385;-;4242;glutamate ionotropic receptor kainate type subunit 1
GRIK1-AS1;chr21;29748175;29748300;+;4605;GRIK1 antisense RNA 1
GRIK2;chr6;100962701;100962751;+;26797;glutamate ionotropic receptor kainate type subunit 2
GRIK3;chr1;36795527;36802045;-;10497;glutamate ionotropic receptor kainate type subunit 3
GRIK4;chr11;120511746;120511887;+;7474;glutamate ionotropic receptor kainate type subunit 4
GRIK5;chr19;41998321;41999299;-;5722;glutamate ionotropic receptor kainate type subunit 5
GRIN1;chr9;137139154;137139744;+;10233;glutamate ionotropic receptor NMDA type subunit 1
GRIN2A;chr16;9753404;9764948;-;18663;glutamate ionotropic receptor NMDA type subunit 2A
GRIN2B;chr12;13437942;13438011;-;31134;glutamate ionotropic receptor NMDA type subunit 2B
GRIN2C;chr17;74842023;74843553;-;8584;glutamate ionotropic receptor NMDA type subunit 2C
GRIN2D;chr19;48393668;48393868;+;5511;glutamate ionotropic receptor NMDA type subunit 2D
GRIN3A;chr9;101569352;101573513;-;8189;glutamate ionotropic receptor NMDA type subunit 3A
GRIN3B;chr19;1000419;1000863;+;3281;glutamate ionotropic receptor NMDA type subunit 3B
GRINA;chr8;143990056;143990199;+;2529;glutamate ionotropic receptor NMDA type subunit associated protein 1
GRIP1;chr12;66347431;66349246;-;7135;glutamate receptor interacting protein 1
GRIP2;chr3;14489107;14493826;-;11889;glutamate receptor interacting protein 2
GRIPAP1;chrX;48973720;48974285;-;6841;GRIP1 associated protein 1
GRK1;chr13;113667219;113668085;+;4878;G protein-coupled receptor kinase 1
GRK2;chr11;67266473;67266812;+;6602;G protein-coupled receptor kinase 2
GRK3;chr22;25564675;25565153;+;9327;G protein-coupled receptor kinase 3
GRK3-AS1;chr22;25561117;25561498;-;1853;GRK3 antisense RNA 1
GRK4;chr4;2963571;2964122;+;4736;G protein-coupled receptor kinase 4
GRK5;chr10;119207571;119207969;+;7021;G protein-coupled receptor kinase 5
GRK5-IT1;chr10;119208531;119208650;+;400;GRK5 intronic transcript 1
GRK6;chr5;177403204;177403526;+;4357;G protein-coupled receptor kinase 6
GRK6P1;chr13;21319156;21320866;+;1711;G protein-coupled receptor kinase 6 pseudogene 1
GRK7;chr3;141763408;141765738;+;6533;G protein-coupled receptor kinase 7
GRM1;chr6;146027646;146027792;+;7408;glutamate metabotropic receptor 1
GRM2;chr3;51707068;51707167;+;7098;glutamate metabotropic receptor 2
GRM3;chr7;86643909;86644872;+;4474;glutamate metabotropic receptor 3
GRM3-AS1;chr7;86782357;86784657;-;3775;GRM3 antisense RNA 1
GRM4;chr6;34018643;34022870;-;16302;glutamate metabotropic receptor 4
GRM5;chr11;88504576;88509504;-;8694;glutamate metabotropic receptor 5
GRM5-AS1;chr11;88504576;88508939;+;4837;GRM5 antisense RNA 1
GRM5P1;chr11;49558546;49558715;+;2366;GRM5 pseudogene 1
GRM6;chr5;178977587;178981854;-;8282;glutamate metabotropic receptor 6
GRM7;chr3;6770001;6770118;+;8214;glutamate metabotropic receptor 7
GRM7-AS1;chr3;7519741;7520015;-;507;GRM7 antisense RNA 1
GRM7-AS2;chr3;6892632;6893048;-;520;GRM7 antisense RNA 2
GRM7-AS3;chr3;6631008;6632579;-;3685;GRM7 antisense RNA 3
GRM8;chr7;126438598;126439168;-;6256;glutamate metabotropic receptor 8
GRM8-AS1;chr7;127215127;127215253;+;1918;GRM8 antisense RNA 1
GRN;chr17;44345246;44345334;+;3524;granulin precursor
GRP;chr18;59220158;59220404;+;861;gastrin releasing peptide
GRPEL1;chr4;7058895;7061208;-;4055;GrpE like 1, mitochondrial
GRPEL2;chr5;149345430;149345616;+;4419;GrpE like 2, mitochondrial
GRPEL2-AS1;chr5;149348116;149348398;-;401;GRPEL2 antisense RNA 1
GRPR;chrX;16123565;16124366;+;2417;gastrin releasing peptide receptor
GRSF1;chr4;70815783;70820861;-;7736;G-rich RNA sequence binding factor 1
GRTP1;chr13;113324163;113324577;-;2917;growth hormone regulated TBC protein 1
GRTP1-AS1;chr13;113351645;113351970;+;1481;GRTP1 antisense RNA 1
GRWD1;chr19;48445841;48445914;+;5627;glutamate rich WD repeat containing 1
GS1-279B7.1;chr1;185321157;185321388;-;1205;microtubule associated protein 1 light chain 3 beta pseudogene
GS1-600G8.3;chrX;13310652;13310742;+;2249;unknown transcript
GSAP;chr7;77310751;77311449;-;8950;gamma-secretase activating protein
GSC;chr14;94768223;94768649;-;1140;goosecoid homeobox
GSC2;chr22;19146993;19149095;-;2625;goosecoid homeobox 2
GSDMA;chr17;39953263;39953305;+;2244;gasdermin A
GSDMB;chr17;39904595;39904964;-;5905;gasdermin B
GSDMC;chr8;129748196;129748740;-;2670;gasdermin C
GSDMD;chr8;143553207;143553760;+;5085;gasdermin D
GSDME;chr7;24698355;24699259;-;8598;gasdermin E
GSE1;chr16;85169525;85171807;+;13376;Gse1 coiled-coil protein
GSEC;chr11;126340882;126342322;-;3775;G-quadruplex forming sequence containing lncRNA
GSG1;chr12;13083532;13085243;-;3033;germ cell associated 1
GSG1L;chr16;27787528;27791467;-;5425;GSG1 like
GSG1L2;chr17;9800608;9802644;-;2668;GSG1 like 2
GSK3A;chr19;42226225;42226421;-;5782;glycogen synthase kinase 3 alpha
GSK3B;chr3;119821321;119826855;-;17871;glycogen synthase kinase 3 beta
